covariates,category,n,share treated,pi min,pi median,pi max,"share outside [0.05, 0.95]"
full,Brown Dwarf,23,0.0,0.007111506807786377,0.007111548851386733,0.007111560222311954,1.0
full,Hypergiant,11,0.45454545454545453,0.013781253462768255,0.015614037034702108,0.9833605332515578,1.0
full,Main Sequence,21,0.8095238095238095,0.023165115953605854,0.9906233770617852,0.9940655689774669,1.0
full,Red Dwarf,22,0.0,0.007076924814183709,0.007077092178088261,0.007077199159911205,1.0
full,Supergiant,23,0.782608695652174,0.022702976428578926,0.9886582290355328,0.9887029062354128,1.0
full,White Dwarf,20,1.0,0.9894404375684613,0.993164032127847,0.9941107241591314,1.0
radius,Brown Dwarf,23,0.0,0.5161859399040949,0.5185278203893159,0.5240025230730382,0.0
radius,Hypergiant,11,0.45454545454545453,0.3534497294039845,0.41807268651873086,0.49478377190541895,0.0
radius,Main Sequence,21,0.8095238095238095,0.5372497093636622,0.5531479155170801,0.557526109988135,0.0
radius,Red Dwarf,22,0.0,0.5181753268187309,0.5286526452888534,0.5350965347606832,0.0
radius,Supergiant,23,0.782608695652174,0.5586875976443451,0.5652632086911986,0.5658963258004581,0.0
radius,White Dwarf,20,1.0,0.4964850529574537,0.49794550783332214,0.5011239001714783,0.0
