covariates,category,D,radius,temperature,pi_hat,no_support
full,Hypergiant,1.0,1423.0,8829.0,0.9718624835763746,True
full,Main Sequence,1.0,6.36,22350.0,0.9912627711250174,True
full,Hypergiant,0.0,955.0,3752.0,0.015614037034702108,True
full,Supergiant,1.0,36.0,12893.0,0.9886862673187982,True
full,Main Sequence,1.0,2.89,9700.0,0.989459727365942,True
full,Supergiant,1.0,14.0,40000.0,0.9887029062354128,True
full,White Dwarf,1.0,0.00879,8924.0,0.992662669700842,True
full,Supergiant,0.0,84.0,3625.0,0.022708982345419463,True
full,Main Sequence,1.0,5.745,14060.0,0.9906236693121878,True
full,White Dwarf,1.0,0.00892,13720.0,0.9915981940323619,True
full,Red Dwarf,0.0,0.47,3692.0,0.007077022284160038,True
full,White Dwarf,1.0,0.0104,23092.0,0.9941107239927519,True
full,Red Dwarf,0.0,0.351,3441.0,0.007077078864904067,True
full,Supergiant,1.0,42.0,14245.0,0.988681725229424,True
full,Brown Dwarf,0.0,0.0976,3531.0,0.007111550953573229,True
full,White Dwarf,1.0,0.01,8500.0,0.992285168327887,True
full,Main Sequence,1.0,1.93,8250.0,0.9884149346137883,True
full,Supergiant,1.0,63.0,24630.0,0.9886658137164336,True
full,Red Dwarf,0.0,0.161,3158.0,0.007077169204838178,True
full,Main Sequence,1.0,1.34,7720.0,0.9884153917390021,True
full,White Dwarf,1.0,0.0127,24020.0,0.994110723081626,True
full,Brown Dwarf,0.0,0.119,2968.0,0.007111540729308345,True
full,Red Dwarf,0.0,0.38,3607.0,0.007077065076277996,True
full,Supergiant,1.0,86.0,23095.0,0.988648361449015,True
full,White Dwarf,1.0,0.0142,19920.0,0.9941107224874134,True
full,Supergiant,1.0,26.0,33750.0,0.9856757701246096,True
full,Red Dwarf,0.0,0.18,3304.0,0.007077160170793242,True
full,Brown Dwarf,0.0,0.116,2914.0,0.007111542162615628,True
full,Hypergiant,1.0,1779.0,11000.0,0.9744155778626822,True
full,Brown Dwarf,0.0,0.0856,2731.0,0.007111556686812268,True
full,Brown Dwarf,0.0,0.0899,2861.0,0.007111554632401087,True
full,Red Dwarf,0.0,0.336,3496.0,0.007077085996962498,True
full,Supergiant,1.0,46.0,18734.0,0.9886786961684313,True
full,White Dwarf,1.0,0.0097,8570.0,0.9926626692523705,True
full,White Dwarf,1.0,0.00898,11900.0,0.9931640323690231,True
full,Supergiant,1.0,39.0,26373.0,0.9886839964993943,True
full,Brown Dwarf,0.0,0.118,2774.0,0.007111541207077403,True
full,Hypergiant,0.0,1534.0,4015.0,0.013781253462768255,True
full,Main Sequence,1.0,10.2,36108.0,0.9940642356312832,True
full,Brown Dwarf,0.0,0.0932,2935.0,0.007111553055760342,True
full,White Dwarf,1.0,0.0112,21020.0,0.9941107236758386,True
full,Hypergiant,1.0,708.9,12100.0,0.9761599807256377,True
full,Supergiant,1.0,25.0,10930.0,0.9886945898031764,True
full,Brown Dwarf,0.0,0.1542,3042.0,0.007111523911857659,True
full,Main Sequence,0.0,1.13,4980.0,0.023165115953605854,True
full,Red Dwarf,0.0,0.307,3342.0,0.00707709978562904,True
full,Main Sequence,1.0,6.98,11250.0,0.990622893100417,True
full,Main Sequence,1.0,5.49,26140.0,0.9912632809522692,True
full,Supergiant,1.0,67.0,33421.0,0.9886627804459417,True
full,Hypergiant,0.0,1480.0,3570.0,0.015077327217601333,True
full,White Dwarf,1.0,0.011,7220.0,0.9915981928598278,True
full,Brown Dwarf,0.0,0.0915,2831.0,0.00711155386796917,True
full,Main Sequence,1.0,0.9,5800.0,0.9884157326343374,True
full,Supergiant,0.0,88.0,3270.0,0.022702976428578926,True
full,Main Sequence,0.0,0.99,5587.0,0.9884156629065525,True
full,Supergiant,1.0,92.0,21738.0,0.9886438043164838,True
full,Main Sequence,1.0,6.21,13023.0,0.9906233770617852,True
full,Hypergiant,0.0,1284.0,3450.0,0.015275540154903653,True
full,White Dwarf,1.0,0.00981,13420.0,0.9931640319877352,True
full,Supergiant,1.0,73.0,19923.0,0.9886582290355328,True
full,Supergiant,1.0,12.0,33300.0,0.9856891387713954,True
full,Brown Dwarf,0.0,0.11,2650.0,0.007111545029231052,True
full,White Dwarf,1.0,0.014,16500.0,0.9931640300629204,True
