effect,n_samples,n_features,GANITE MSE,GANITE MSE std,GenTE MSE,GenTE MSE std,gain vs GANITE (%)
linear,200,2,1.0294949084526661,0.36224565012995513,0.10660177218562254,0.06707529245333137,89.6452356091935
linear,200,4,0.8738419974980487,0.29381747252095397,0.3449012456936022,0.16498386295369377,60.530479573983584
linear,200,8,1.1234823106051026,0.381152714566695,0.7119747349404527,0.37951609164041944,36.62786425564758
linear,500,2,0.986600379533386,0.28685173713032214,0.06362255803360667,0.04616535903003112,93.55133452678206
linear,500,4,0.8887765666223024,0.3296816182501905,0.22198051037244074,0.1382946333736734,75.02403655667327
linear,500,8,1.1180196804308777,0.3441386149082056,0.40931682223471627,0.23235858880270868,63.389121909109136
linear,1000,2,1.0440857917690338,0.3737271471592095,0.05320015991532717,0.04614541296549652,94.9046179600636
linear,1000,4,0.8549044874117403,0.2715007530620231,0.16984788705956738,0.10067104107596109,80.13253064400338
linear,1000,8,1.1265554910488291,0.3195584131239242,0.3022055629146816,0.14727682709512355,73.17437398193971
non-linear,200,2,5.097320569771409,1.2926951354328742,0.3461415213440297,0.29693373305342874,93.20934368152653
non-linear,200,4,4.952103122971412,1.0419168082673969,0.6599958516717013,0.3934908811601741,86.67241300751259
non-linear,200,8,4.99522095279937,1.1517566997739463,1.456984021422655,0.6330135178388255,70.83244094325502
non-linear,500,2,4.926243656056467,0.7756534822469734,0.17398186728118514,0.10045891474894124,96.46826508333004
non-linear,500,4,4.765490305347421,0.6629914549770929,0.3475011219782027,0.23111039066814168,92.70796707763171
non-linear,500,8,5.030325231594614,0.7562416998355754,0.6876420799090045,0.3046535549363039,86.33006717756456
non-linear,1000,2,4.876964501649043,0.5566771887948062,0.13664751928566785,0.06298667957385178,97.19810305694324
non-linear,1000,4,4.893017336086422,0.53128445342014,0.2745078524541139,0.1192933891725076,94.38980421284032
non-linear,1000,8,5.102864977392808,0.5688734180676054,0.5654695134421464,0.25869921957044234,88.9185875787946
interaction,200,2,1.1228375208740249,0.3596992246475116,0.35750854705749036,0.20622511605393606,68.16026001881349
interaction,200,4,1.1888115416591456,0.3023299743797482,0.5780010687333976,0.2582455469910364,51.37992453145939
interaction,200,8,1.5259412649795823,0.3653776497443325,1.1687405228317589,0.4529956430780194,23.408551190376446
interaction,500,2,1.0893155170794586,0.25379706076427927,0.22709721050811735,0.10783355730100842,79.15230188614379
interaction,500,4,1.1990555151141886,0.24605702243891384,0.3765592382225559,0.1415238977397884,68.59534579708803
interaction,500,8,1.626012205266353,0.2950909097015207,0.6655729475303552,0.27614318899060897,59.06716165015936
interaction,1000,2,1.079350797705083,0.18358953305194442,0.2026551068373613,0.09416721144311031,81.22435196525107
interaction,1000,4,1.2040341120828504,0.19122413077806102,0.3078134771662536,0.11534477427009235,74.4348209010649
interaction,1000,8,1.623346211121741,0.2441509970332666,0.521286283134453,0.1914071410640722,67.88816337740786
non-linear interaction,200,2,3.104930673046631,2.05328569743643,1.9544927637286105,1.6401899192018978,37.05196767530992
non-linear interaction,200,4,2.7456835303574834,1.3255454934659225,2.1547909508303684,1.1388314758502602,21.52078245704383
non-linear interaction,200,8,2.9960819035694004,1.4596317575426032,3.1974045219641467,1.5496546718044601,-6.719529868489227
non-linear interaction,500,2,2.803970169732902,1.0266889238336063,1.4034803841142243,0.9297140677506069,49.94667207005573
non-linear interaction,500,4,2.7087671361529737,0.9050213815936716,1.6324048917844334,0.7869541416697562,39.73624125908452
non-linear interaction,500,8,3.2204857650775165,1.0039398329051497,2.5189553103450386,1.0187958584001684,21.783373872965782
non-linear interaction,1000,2,2.830138302141988,0.7708168529455017,1.3643492564141548,0.6409875408955984,51.792134844380286
non-linear interaction,1000,4,2.7739541913046906,0.6895082197878557,1.5245711385370948,0.6410198916280475,45.03978676662883
non-linear interaction,1000,8,3.234879614190281,0.6933195256976373,2.2309389041553382,0.6015520735592262,31.03487083819155
