design,n_samples,n_features,GenTE Joint Estimation MSE,GenTE Joint Estimation MSE std,GenTE Joint MC MSE,GenTE Joint MC MSE std,GenTE Direct MSE,GenTE Direct MSE std,grid vs MC gap (%),gain of quantile vs direct (%)
gaussian,200,2,0.10660177218562254,0.06707529245333137,0.10645328303278685,0.06693352005944599,0.32112554349981903,0.2182909562027121,-0.13929332485873724,66.80370828685491
gaussian,200,4,0.3449012456936022,0.16498386295369377,0.345538786824209,0.16492947097960534,0.3373876877905314,0.12250319198901455,0.18484744214962648,-2.2269804663813453
gaussian,200,8,0.7119747349404527,0.37951609164041944,0.7145636412518139,0.38124226073506867,0.36602626249214576,0.13992660878971533,0.36362334003014085,-94.51465861844555
gaussian,500,2,0.06362255803360667,0.04616535903003112,0.0632945829733208,0.04611981414857074,0.10037251182345595,0.050163715347621894,-0.5155012159564929,36.61356393520205
gaussian,500,4,0.22198051037244074,0.1382946333736734,0.22278634526757415,0.13837517438701963,0.22131648991158306,0.07064854676057758,0.36302056148144746,-0.3000320767435616
gaussian,500,8,0.40931682223471627,0.23235858880270868,0.41047253972447634,0.23291917147699598,0.2448439550713124,0.062283142505198195,0.28235279543368935,-67.17456721179826
gaussian,1000,2,0.05320015991532717,0.04614541296549652,0.053140379203598875,0.04660705805034243,0.039190318668205784,0.016232795078496298,-0.11236942111347607,-35.74821977267375
gaussian,1000,4,0.16984788705956738,0.10067104107596109,0.17112395028475472,0.10153518049529475,0.11326726290447402,0.037477448680901304,0.7512976742182295,-49.953201573178
gaussian,1000,8,0.3022055629146816,0.14727682709512355,0.30336618528285764,0.1484145330088997,0.17122847441563713,0.03951150852330678,0.3840506299692806,-76.49258626290909
heavy,200,2,0.08367492534341926,0.061341807996287225,0.08372762649185474,0.061390294060046445,0.24687622308506824,0.20056161200085573,0.0629832034138997,66.10652727193307
