effect,n_samples,n_features,GenTE Separate MSE,GenTE Separate MSE std,GenTE Joint Estimation MSE,GenTE Joint Estimation MSE std,GenTE Joint MC MSE,GenTE Joint MC MSE std,gain of joint (%),gain of joint MC (%),grid vs MC gap (%)
linear,200,2,0.7216044337504551,0.16307379267823488,0.10660177218562254,0.06707529245333137,0.10645328303278685,0.06693352005944599,85.22711790564088,85.24769554428757,-0.13929332485873724
linear,200,4,1.123834833325897,0.33474178460037296,0.3449012456936022,0.16498386295369377,0.345538786824209,0.16492947097960534,69.3103260847597,69.25359700752331,0.18484744214962648
linear,200,8,1.1507784105241847,0.33029318747822,0.7119747349404527,0.37951609164041944,0.7145636412518139,0.38124226073506867,38.13103127159424,37.90606126106181,0.36362334003014085
linear,500,2,0.6755181637587861,0.12198311830464324,0.06362255803360667,0.04616535903003112,0.0632945829733208,0.04611981414857074,90.58166583122035,90.63021745838324,-0.5155012159564929
linear,500,4,1.0678296404380199,0.20035939402329972,0.22198051037244074,0.1382946333736734,0.22278634526757415,0.13837517438701963,79.21199206632014,79.13652732319848,0.36302056148144746
linear,500,8,1.1241984959001077,0.1454270465972692,0.40931682223471627,0.23235858880270868,0.41047253972447634,0.23291917147699598,63.59034247710942,63.4875387912857,0.28235279543368935
linear,1000,2,0.6804555646107597,0.11108511476476675,0.05320015991532717,0.04614541296549652,0.053140379203598875,0.04660705805034243,92.18168493548006,92.1904703308589,-0.11236942111347607
linear,1000,4,1.0540285721025637,0.18524450980739499,0.16984788705956738,0.10067104107596109,0.17112395028475472,0.10153518049529475,83.88583653659816,83.7647712012779,0.7512976742182295
linear,1000,8,1.114835414777531,0.14212158604311506,0.3022055629146816,0.14727682709512355,0.30336618528285764,0.1484145330088997,72.89236071003471,72.78825365057179,0.3840506299692806
non-linear,200,2,2.434540040261691,0.9232997920672672,0.3461415213440297,0.29693373305342874,0.34706584389686457,0.2972148083816276,85.78205674913349,85.74408971891224,0.26703602308264635
non-linear,200,4,2.4936518613442247,0.7311050304131114,0.6599958516717013,0.3934908811601741,0.6579434202222612,0.39201280242545067,73.53295935560449,73.61526561018863,-0.31097641663072895
non-linear,200,8,2.6472018177488144,0.9233544223166931,1.456984021422655,0.6330135178388255,1.4610253427009914,0.6353521398099977,44.96135460266203,44.808690712389655,0.2773758132494988
non-linear,500,2,2.321193621704756,0.5044015638608756,0.17398186728118514,0.10045891474894124,0.1735155243938566,0.10000796845960858,92.50463788740694,92.5247285374487,-0.2680410864741788
non-linear,500,4,2.3755248722929485,0.5434008708685819,0.3475011219782027,0.23111039066814168,0.34522197357348444,0.2306218019302892,85.37160666969649,85.46754960977265,-0.6558679269131191
non-linear,500,8,2.63898405240292,0.5616640920725836,0.6876420799090045,0.3046535549363039,0.686705782772327,0.3055674600781673,73.94292400960613,73.97840346374778,-0.13616053526006333
non-linear,1000,2,2.3042859192065657,0.37486513422103024,0.13664751928566785,0.06298667957385178,0.13649925402621507,0.06334905669020155,94.06985399916346,94.07628832479192,-0.10850197663875485
non-linear,1000,4,2.417800337734479,0.3733259792988624,0.2745078524541139,0.1192933891725076,0.2721419890381131,0.11854487452612103,88.64638042397941,88.74423231766461,-0.8618563712658402
non-linear,1000,8,2.6286502270074408,0.370047556952895,0.5654695134421464,0.25869921957044234,0.5632668797654563,0.26051600639700023,78.48821773120042,78.57201106566765,-0.38952297592174256
interaction,200,2,0.9907027415398966,0.3022838891633693,0.35750854705749036,0.20622511605393606,0.35719569513056904,0.20606209708110512,63.91364108856732,63.94521987742128,-0.0875089363586631
interaction,200,4,1.073616792741019,0.3338777804415188,0.5780010687333976,0.2582455469910364,0.5779156580855739,0.2589533608872066,46.16318665641207,46.171142069218696,-0.014776901366447584
interaction,200,8,1.0689480450864624,0.3728389614805677,1.1687405228317589,0.4529956430780194,1.1716975577824897,0.4544228051869749,-9.335577926729343,-9.612208298460057,0.2530103896428788
interaction,500,2,0.9489866797565274,0.17519579653118092,0.22709721050811735,0.10783355730100842,0.22689533667816356,0.10817712612467462,76.06950494116718,76.09077750844975,-0.08889313501566576
interaction,500,4,1.032580185855045,0.20640116713454132,0.3765592382225559,0.1415238977397884,0.3763081619885066,0.14158672475061607,63.53220375706321,63.556519179486436,-0.06667642393649213
interaction,500,8,1.0315163162057113,0.1740198948787612,0.6655729475303552,0.27614318899060897,0.6679792530617046,0.2785412788908215,35.4762559666945,35.24297749174023,0.3615389628256495
interaction,1000,2,0.961614918143748,0.14636024720785337,0.2026551068373613,0.09416721144311031,0.20212347027100133,0.09407585968157481,78.9255446214836,78.9808304283413,-0.2623356374565089
interaction,1000,4,1.0253302157665147,0.14350106213195035,0.3078134771662536,0.11534477427009235,0.30757073041132243,0.11575682244658246,69.97908845043264,70.00276343349647,-0.07886163957664488
interaction,1000,8,1.045986499257033,0.14545087205632126,0.521286283134453,0.1914071410640722,0.522283116284789,0.1916096784428116,50.16319201971305,50.067891253303166,0.19122566286265238
non-linear interaction,200,2,2.8926887798752796,1.906258404770089,1.9544927637286105,1.6401899192018978,1.9528741271130647,1.636348016363494,32.43335483145615,32.48931095873838,-0.08281619894349666
non-linear interaction,200,4,2.64520720248479,1.4020929331115033,2.1547909508303684,1.1388314758502602,2.1542935889177808,1.1382925882406891,18.53980479085896,18.558607170956844,-0.023081678173745027
non-linear interaction,200,8,2.7916604376611436,1.4679008805641787,3.1974045219641467,1.5496546718044601,3.2035203843357225,1.5531433260934882,-14.534148882481436,-14.753225038344397,0.19127584043757026
non-linear interaction,500,2,2.647320325343015,1.0154393637702517,1.4034803841142243,0.9297140677506069,1.3999203935640967,0.9280550470347885,46.98486727584149,47.11934252298281,-0.25365445719245855
non-linear interaction,500,4,2.559295785110192,0.8646385867558313,1.6324048917844334,0.7869541416697562,1.6323227378292333,0.7857359736997009,36.21663813609769,36.21984815799817,-0.005032694744638649
non-linear interaction,500,8,2.905964991080739,0.9224436101835101,2.5189553103450386,1.0187958584001684,2.522712916927168,1.02181148772197,13.317768174205359,13.188461503489691,0.1491732134626278
non-linear interaction,1000,2,2.646921894521077,0.7364392589530188,1.3643492564141548,0.6409875408955984,1.3602053085691088,0.6405598279033736,48.45525063515278,48.61180787447381,-0.30373072184884153
non-linear interaction,1000,4,2.6293652935570138,0.6726940181801785,1.5245711385370948,0.6410198916280475,1.523931294009321,0.6411136241154896,42.01752254534972,42.04185710735757,-0.04196882071293398
non-linear interaction,1000,8,2.9400187897179997,0.6066375322737128,2.2309389041553382,0.6015520735592262,2.2307152404598685,0.6014535860377433,24.118209313576354,24.125816873645423,-0.01002554104252621
